recruit_rank,games_played,ft_pct,free_throw_rate,fg2_pct,fg3m,fg3_pct,ts_pct,rim_shot_ratio,mid_fg_made,mid_shot_ratio,dunks_made,dunk_rate,usage_pct,porpag,personal_foul_rate,ast_tov_ratio,off_box_plus_minus,def_box_plus_minus,off_game_box_plus_minus,def_game_box_plus_minus,assists,steals,offensive_rebounds,defensive_rebounds,drb_pct,ast_pct,tov_pct,stl_pct,height_in_cm
55.7,4.0,0.5,0.0,0.0,0.0,0.0,52.63,0.5568,0.0,0.3158,0.0,1.0,13.2,0.0329762,10.0,0.71435875,-2.05904,-3.72906,-7.61462,-1.7321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5
78.6,33.0,0.585,29.7,0.4,24.0,0.329,46.99,0.5294,8.0,0.2581,2.0,1.0,15.1,0.552718,4.4,0.70969504,0.395648,0.868264,-0.428429,0.675666,0.6471,0.6176,1.1765,3.0,16.6,6.7,18.2,1.9,200.7
55.7,30.0,0.7,22.7,0.339,33.0,0.333,44.31,0.2069,35.0,0.3804,0.0,1.0,18.7,-0.256196,3.8,0.7818245,-3.06278,-1.54319,-4.60333,-1.4804,1.3438,0.625,1.0312,2.625,11.7,10.8,21.4,1.4,190.5
53.2,33.0,0.709,54.5,0.391,6.0,0.3,46.86,0.5152,15.0,0.2174,11.0,0.8462,22.4,0.749015,3.3,0.42001054,-1.9457,2.08365,-0.260523,0.864529,0.6364,0.7879,1.9091,2.3636,14.5,7.4,19.7,2.3,203.2
43.0,34.0,0.707,71.6,0.682,0.0,0.0,67.25,0.7479,16.0,0.4571,9.0,1.0,17.5,2.18239,5.4,0.7435272,1.62213,-0.71295,0.487081,-0.816664,0.8529,0.3824,1.2941,2.8235,15.2,7.2,17.0,1.0,198.1
55.7,25.0,0.727,28.2,0.51,9.0,0.31,52.57,0.5667,8.0,0.4211,0.0,1.0,28.5,0.27349,11.1,0.34484684,-4.06132,-0.799095,-6.97601,0.281039,0.3704,0.1852,0.3333,1.2593,17.3,9.9,23.8,1.4,203.2
95.8,32.0,0.77,51.7,0.45,44.0,0.423,56.59,0.616,31.0,0.2696,10.0,0.8333,25.2,3.02496,3.9,0.5324578,2.26349,-0.870838,3.31891,-0.700068,1.2812,0.8438,1.625,4.4688,17.0,9.1,17.9,1.6,195.6
55.7,22.0,0.626,69.5,0.474,5.0,0.217,50.55,0.5856,8.0,0.186,0.0,0.0,22.5,1.48984,2.3,0.8112988,-0.91216,-2.01338,0.240126,-2.63642,1.9545,0.7273,2.4545,3.9545,15.0,16.1,20.4,1.4,193.0
55.7,12.0,1.0,33.3,0.4,0.0,0.0,43.17,0.5568,2.0,0.4,0.0,1.0,7.6,-0.513158,8.8,0.0,-6.47203,-1.00019,-8.11872,0.364846,0.0,0.0833,0.1667,0.6667,15.8,0.0,34.9,0.9,200.7
55.7,4.0,0.5,100.0,0.0,1.0,1.0,67.8,0.5568,0.0,0.0,0.0,1.0,27.5,0.217597,0.0,0.71435875,8.724783,5.15037,11.923771,7.346461,0.0,0.25,0.0,0.0,0.0,0.0,0.0,8.5,188.0
55.7,21.0,0.6,62.5,0.208,0.0,0.0,30.52,0.3125,0.0,0.0,0.0,1.0,16.4,-0.404355,7.5,0.0,-9.66109,-0.48507,-7.99273,-0.197314,0.0,0.0909,0.5,1.0455,19.5,0.0,18.0,1.0,200.7
75.4,9.0,0.0,5.9,0.091,3.0,0.5,31.47,0.3333,0.0,0.0,1.0,1.0,21.9,-0.131537,1.0,1.0,-4.19932,-2.69295,-4.58637,-2.39367,0.1111,0.1111,0.3333,0.7778,18.9,4.0,6.5,1.4,195.6
55.7,27.0,0.588,45.7,0.406,0.0,0.0,44.37,0.5275,23.0,0.2738,3.0,0.5,21.7,0.00244412,4.5,0.5833409,-6.02612,5.03799,-4.1876,1.76107,1.2963,0.3333,2.1111,4.9655,24.3,11.7,24.6,0.8,203.2
55.7,28.0,0.68,52.4,0.407,4.0,0.167,45.28,0.4574,25.0,0.3425,2.0,1.0,23.7,-0.10882,6.6,0.38463193,-5.93336,-1.84888,-6.46892,-1.36489,0.7143,0.2143,1.4643,3.5,17.0,8.0,20.6,0.6,198.1
55.7,30.0,0.569,55.4,0.467,10.0,0.313,49.47,0.4419,9.0,0.5294,1.0,1.0,16.5,-0.0819157,4.8,0.52501315,-2.01776,-1.55783,-3.53407,-1.71938,0.7,0.7333,1.0667,1.5333,11.4,8.6,28.4,2.6,188.0
55.7,22.0,0.625,53.3,0.533,0.0,0.0,55.85,0.6,2.0,0.4,0.0,1.0,10.2,-0.13573,5.2,0.11121975,-3.2334,-2.47903,-3.88152,-2.05674,0.0455,0.2727,0.6364,0.5455,8.5,1.1,33.0,2.2,203.2
55.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.0,0.3158,0.0,1.0,20.0,-0.112514,0.0,0.71435875,-5.62545,-11.984825,-4.34642,-10.8287,1.0,0.0,0.0,0.0,0.0,39.978,0.0,0.0,180.3
55.7,27.0,0.917,50.0,0.286,7.0,0.412,60.61,0.25,1.0,0.3333,0.0,1.0,9.3,0.117645,3.4,1.2856,-1.29973,-2.77776,-2.46969,-2.69583,0.3214,0.1786,0.1429,0.4286,5.3,3.7,21.9,1.2,193.0
55.7,28.0,0.444,77.3,0.493,0.0,0.0,46.22,0.573,24.0,0.381,1.0,1.0,22.8,-0.142257,5.3,1.1034483,-2.37901,-0.13349,-3.45057,-0.973355,3.2,1.0333,1.5667,2.4,10.2,28.4,27.7,2.3,188.0
55.7,31.0,0.61,61.2,0.475,9.0,0.257,49.44,0.6102,11.0,0.275,3.0,1.0,14.7,-0.0444367,3.7,1.7585782,-2.0349,2.54119,-3.02753,2.79105,3.2903,0.6774,0.3226,1.6452,6.6,22.3,27.6,1.5,193.0
55.7,14.0,0.5,28.6,0.429,0.0,0.0,44.03,1.0,2.0,0.3333,1.0,1.0,11.7,-0.100337,8.6,1.0,-4.88695,2.21953,-6.43491,2.61506,0.1429,0.0714,0.0714,0.2143,8.2,8.4,23.1,1.4,213.4
97.0,31.0,0.594,36.5,0.586,0.0,0.0,58.39,0.7099,16.0,0.2909,16.0,0.9412,21.6,2.36873,2.6,0.6744287,3.38854,5.06688,4.72335,3.76916,0.9355,0.9355,2.1613,2.3226,12.5,9.5,19.0,2.8,198.1
55.7,23.0,0.0,0.0,0.5,1.0,0.125,34.38,1.0,2.0,0.3333,0.0,1.0,8.0,-1.3265412,4.7,0.949977,-7.19946,-1.64,-8.90094,-0.181955,0.8261,0.5652,0.1304,0.3478,3.5,13.1,54.9,2.9,175.3
55.7,33.0,0.636,64.7,0.688,0.0,0.0,65.24,0.7442,1.0,0.1667,1.0,1.0,10.3,1.10162,8.5,0.18181819,0.33233,-1.47485,-3.00108,-0.788799,0.0606,0.1515,1.1515,0.8485,8.0,0.8,14.5,0.7,203.2
55.7,5.0,1.0,10.3,0.167,4.0,0.235,31.22,0.2,1.0,0.1429,0.0,1.0,24.7,-0.777766,2.5,0.7777778,-7.58922,-3.5588,-6.22945,-4.11148,1.4,0.6,0.4,0.4,3.1,20.8,28.3,2.3,185.4
8.6,30.0,0.754,28.1,0.333,48.0,0.366,51.07,0.32,16.0,0.3404,0.0,1.0,20.3,0.456793,5.0,0.5952143,-1.11162,-3.2313,-2.13244,-2.98113,0.8333,0.6667,0.6,2.2,11.4,7.3,17.9,1.7,195.6
73.2,25.0,0.765,40.5,0.5,1.0,0.056,39.94,0.6,2.0,0.2857,0.0,0.0,20.6,0.0943608,4.2,0.9230769,0.377064,4.26134,-2.53015,5.12001,0.48,0.76,0.52,0.72,12.7,13.5,23.2,7.1,190.5
55.7,28.0,0.61,64.2,0.417,6.0,0.353,48.22,0.5455,19.0,0.322,0.0,1.0,20.5,-0.550137,4.8,0.84128886,-4.4747,-0.856231,-5.30133,0.13768,1.8929,1.62466,0.3214,1.2143,7.3,23.5,31.1,4.7,180.3
87.6,34.0,0.316,66.7,0.579,0.0,0.0,51.97,0.6744,4.0,0.2857,26.0,0.8667,14.1,-0.108947,6.6,0.07996736,-3.81907,7.866778,-3.43413,6.22226,0.0588,0.2059,0.9706,1.5882,16.0,0.9,26.9,1.1,213.4
55.7,24.0,0.636,20.0,0.333,14.0,0.326,47.32,0.5,2.0,0.25,0.0,1.0,15.1,0.169279,1.3,1.6666666,-0.779819,-2.99605,-0.0327426,-1.74277,0.625,0.1667,0.3333,0.6667,7.8,13.2,15.4,1.0,193.0
55.7,14.0,0.714,17.5,0.394,2.0,0.286,42.7,0.4167,8.0,0.381,0.0,1.0,19.8,-0.0482749,5.5,0.1428,-5.92433,-3.87269,-3.48888,-2.12423,0.0714,0.0714,0.5714,1.0,13.7,1.8,17.2,0.5,200.7
55.7,17.0,0.0,0.0,0.0,2.0,0.286,33.33,0.5568,0.0,0.0,0.0,1.0,8.4,-0.250901,1.9,2.0,-4.78342,-3.0632,-4.22677,-2.3365,0.2222,0.0,0.0,0.1111,2.0,9.7,12.2,0.0,190.5
55.7,30.0,0.648,24.8,0.438,38.0,0.432,53.97,0.5397,18.0,0.3214,2.0,1.0,19.1,0.564214,2.8,0.9285359,-1.93352,-1.54902,-1.78623,-1.33895,1.6774,0.9355,0.3871,2.1935,10.0,12.2,21.2,2.1,195.6
55.7,24.0,0.545,35.5,0.269,0.0,0.0,27.61,0.3889,0.0,0.0,0.0,1.0,10.6,-0.917165,3.5,1.3334,-5.31057,-0.860441,-5.49167,-1.51741,0.6667,0.4167,0.6667,0.9167,11.2,14.0,27.4,2.4,182.9
76.8,31.0,0.492,51.8,0.596,0.0,0.0,58.09,0.5568,4.0,0.3158,0.0,1.0,18.3,0.912637,4.6,0.45455828,-0.644039,5.11764,-0.917149,2.65612,0.6452,0.4194,1.4839,2.0323,13.8,7.8,26.9,1.5,208.3
55.7,25.0,0.6,33.3,0.304,7.0,0.318,42.21,0.5568,4.0,0.3158,0.0,1.0,21.5,-0.0519439,4.3,0.6,-4.55427,-4.97104,-4.15315,-4.37757,0.36,0.12,0.72,0.56,11.0,11.9,25.8,1.1,198.1
54.4,6.0,0.0,133.3,1.0,0.0,0.0,20.41,0.5568,4.0,0.3158,0.0,1.0,27.6,-0.748327,4.0,0.0,-20.2049,-0.70217,-20.0702,0.636265,0.0,0.1667,0.0,0.8333,30.9,0.0,49.1,3.4,185.4
55.7,29.0,0.679,21.6,0.44,49.0,0.318,48.67,0.5926,24.0,0.375,0.0,1.0,20.6,0.523301,2.4,0.7000174,-1.64389,-2.67857,-1.56953,-1.92493,1.2069,0.5517,0.069,1.2069,5.6,10.8,19.9,1.3,185.4
55.7,29.0,0.567,26.3,0.218,17.0,0.288,35.87,0.3,3.0,0.12,2.0,0.6667,16.5,-0.676351,4.3,0.9677268,-2.81105,-0.667633,-4.09801,-0.53408,1.0345,0.9655,1.0345,1.8966,13.4,12.8,23.2,3.5,193.0
55.7,27.0,0.625,60.0,0.462,0.0,0.0,49.61,0.6364,4.0,0.2353,3.0,1.0,13.7,-0.0753584,6.0,0.0,-4.52903,0.122971,-3.62351,-0.059708,0.0,0.1481,0.7778,0.8889,12.5,0.0,22.9,1.0,213.4
39.4,26.0,0.462,9.2,0.484,16.0,0.327,48.59,0.5568,4.0,0.3158,0.0,1.0,18.0,0.270331,4.1,0.533368,-2.31814,0.339154,-1.70129,-0.69342,0.6154,0.5,1.2308,2.4231,14.8,6.7,20.3,1.6,200.7
55.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,4.0,0.3158,0.0,1.0,0.0,-0.638608,0.0,0.71435875,-2.9708,-0.706342,-2.61075,-2.03963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.7
12.6,27.0,0.5,51.6,0.478,5.0,0.313,48.58,0.6154,6.0,0.3,0.0,1.0,14.8,0.114081,4.1,1.3125212,-1.74881,0.633804,-2.70544,1.12409,0.7778,0.6296,0.6667,0.6296,5.8,13.1,18.9,3.0,195.6
55.7,28.0,0.75,14.1,0.417,40.0,0.299,46.31,0.5385,9.0,0.375,0.0,1.0,19.9,0.365146,3.8,0.5714667,-0.811395,-6.0246,-1.37708,-4.29991,0.4286,0.3929,0.4643,0.8214,5.7,5.1,13.4,1.4,190.5
55.7,24.0,0.875,15.7,0.24,7.0,0.269,36.5,0.2222,4.0,0.25,0.0,1.0,12.3,-0.810368,3.0,0.43752813,-5.07908,-2.15579,-5.07377,-2.29545,0.2917,0.125,0.375,1.0417,10.1,5.1,27.1,0.6,198.1
55.7,27.0,0.596,20.2,0.519,31.0,0.307,50.76,0.5568,4.0,0.3158,0.0,1.0,27.0,1.31362,2.5,0.400012,-0.957638,-2.65284,1.20638,-2.07401,0.6667,0.7407,0.963,2.5185,14.6,7.0,17.1,2.1,198.1
55.7,20.0,0.6,14.3,0.556,11.0,0.423,61.54,0.8333,0.0,0.0,0.0,1.0,17.7,0.183767,5.9,0.923077,-1.44893,-3.25332,-2.54286,-2.563,0.6,0.1,0.1,0.55,8.6,14.5,28.8,0.8,185.4
55.7,31.0,0.625,17.4,0.289,21.0,0.447,49.7,0.36,4.0,0.2,0.0,1.0,12.2,-0.00366973,2.9,1.5453563,-1.70194,-1.54072,-2.64472,-0.248177,1.0,0.5,0.0882,0.7941,5.8,9.9,19.6,1.8,190.5
55.7,14.0,1.0,12.5,0.5,0.0,0.0,41.3,0.5,2.0,0.5,0.0,1.0,14.8,-0.202102,2.3,0.33317778,-8.5177,-2.30561,-5.45948,-2.46627,0.0714,0.0714,0.0,0.5,22.3,5.1,31.5,1.5,182.9
55.7,25.0,0.583,70.6,0.5,2.0,0.286,50.66,0.5568,4.0,0.3158,0.0,1.0,18.0,-0.223584,3.5,0.6923078,-8.06389,-1.96057,-6.26548,-1.38729,0.36,0.08,0.0,0.36,9.4,17.4,39.4,1.1,188.0
55.7,25.0,0.52,43.1,0.534,0.0,0.0,53.67,0.5758,12.0,0.48,5.0,0.625,14.8,-0.0272392,8.3,0.14999999,-4.61638,1.11796,-4.39312,0.736622,0.12,0.48,1.08,2.28,20.3,2.0,24.9,2.2,208.3
55.7,7.0,0.545,64.7,0.412,0.0,0.0,44.99,0.5568,4.0,0.3158,0.0,1.0,24.5,0.19769,8.1,0.25008753,-6.07757,-0.816451,-7.42098,-0.0438968,0.1429,0.0,0.4286,0.5714,9.1,3.8,18.4,0.0,213.4
55.7,27.0,0.593,35.1,0.25,16.0,0.356,44.53,0.4167,3.0,0.15,0.0,1.0,16.0,-0.711264,6.3,0.923077,-4.85396,-2.05274,-6.82937,-1.3464,1.2,0.4667,0.2333,1.4667,9.9,15.7,29.9,1.3,190.5
55.7,28.0,0.769,36.8,0.443,29.0,0.322,51.19,0.5568,4.0,0.3158,0.0,1.0,21.3,1.16885,3.5,1.5844,-0.241185,-3.4375,-1.22939,-1.81653,4.18717,1.4643,0.5714,2.1071,8.4,30.5,25.9,3.0,185.4
55.7,30.0,0.745,22.7,0.51,29.0,0.333,53.33,0.5882,39.0,0.4483,6.0,0.8571,17.8,1.45269,3.8,0.59571075,-0.179699,-1.42647,0.219288,-1.58839,0.9333,0.7667,1.1667,2.8,11.8,7.5,18.2,1.6,195.6
55.7,29.0,0.548,44.3,0.42,0.0,0.0,44.26,0.5556,8.0,0.2759,1.0,1.0,14.0,-0.365966,7.1,0.38891575,-4.57763,-3.37119,-5.70085,-3.06445,0.2414,0.2414,0.9655,1.0,9.9,3.6,19.1,1.0,203.2
55.7,5.0,0.0,0.0,0.0,1.0,0.5,50.0,0.5568,0.0,0.0,0.0,1.0,14.9,0.135613,0.0,0.71435875,-0.356751,-8.87159,1.06446,-3.48519,0.2,0.0,0.0,0.0,0.0,17.2,0.0,0.0,198.1
55.7,37.0,0.773,62.1,0.631,4.0,0.444,67.39,0.7642,25.0,0.4032,19.0,0.95,15.4,3.10176,3.8,0.95345044,3.27931,2.55951,2.81192,1.75124,1.1081,0.8108,2.1892,4.4595,18.7,7.2,17.1,1.8,203.2
55.7,13.0,0.667,150.0,0.0,1.0,0.333,51.09,0.0,0.0,0.3158,0.0,1.0,24.5,0.203075,9.5,0.0,4.799,-11.1948,2.0958,-5.67806,0.0,0.0667,0.4,0.1333,5.7,0.0,12.6,0.0,193.0
60.6,7.0,0.591,59.5,0.543,1.0,0.5,56.9,0.5833,5.0,0.4545,3.0,1.0,23.1,0.819647,5.4,0.95832115,-2.34003,4.0599,-2.41945,2.56989,3.2857,1.1429,0.8571,4.9655,20.9,29.0,34.8,2.7,195.6
55.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.0,0.0,0.0,1.0,14.6,-0.375041,2.4,0.71435875,-8.93442,-4.30565,-13.4423,-4.18228,0.0,0.0,0.0833,0.0833,5.9,0.0,0.0,0.0,182.9
55.7,31.0,0.68,20.3,0.352,0.0,0.0,38.18,0.44,21.0,0.3182,0.0,1.0,13.3,-1.11788,5.7,0.7857618,-4.51818,-0.757003,-5.91128,-0.505361,0.7097,0.5161,1.0,0.9032,5.5,7.3,20.2,1.6,193.0
